source,ogc_fid,nom,type_revet,etat_chaus,longueur_m,lon,lat
voierie_tertiaire_non_bitumee,498,,,,23,43.133213,11.567582
voierie_tertiaire_non_bitumee,499,,,,22,43.133352,11.567337
voierie_tertiaire_non_bitumee,500,,,,31,43.133597,11.567390
voierie_tertiaire_non_bitumee,501,,,,74,43.132874,11.567711
voierie_tertiaire_non_bitumee,502,,,,18,43.132824,11.567776
voierie_tertiaire_non_bitumee,503,,,,141,43.134183,11.566335
voierie_tertiaire_non_bitumee,504,,,,28,43.131640,11.567584
voierie_tertiaire_non_bitumee,505,,,,29,43.131869,11.567680
voierie_tertiaire_non_bitumee,506,,,,29,43.132087,11.567833
voierie_tertiaire_non_bitumee,507,,,,30,43.132335,11.567937
voierie_tertiaire_non_bitumee,508,,,,24,43.132563,11.568091
voierie_tertiaire_non_bitumee,509,,,,34,43.132816,11.568199
voierie_tertiaire_non_bitumee,510,,,,101,43.140399,11.563085
voierie_tertiaire_non_bitumee,511,,,,53,43.140321,11.562812
voierie_tertiaire_non_bitumee,512,,,,40,43.139754,11.562819
voierie_tertiaire_non_bitumee,513,,,,40,43.139764,11.563025
voierie_tertiaire_non_bitumee,514,,,,39,43.139747,11.563243
voierie_tertiaire_non_bitumee,515,,,,142,43.139549,11.563234
voierie_tertiaire_non_bitumee,516,,,,112,43.139923,11.563139
voierie_tertiaire_non_bitumee,517,,,,133,43.139302,11.563109
voierie_tertiaire_non_bitumee,518,,,,117,43.139131,11.563033
voierie_tertiaire_non_bitumee,519,,,,138,43.139634,11.560709
voierie_tertiaire_non_bitumee,520,,,,81,43.140905,11.561578
voierie_tertiaire_non_bitumee,521,,,,150,43.141461,11.561344
voierie_tertiaire_non_bitumee,522,,,,22,43.140568,11.562224
voierie_tertiaire_non_bitumee,523,,,,32,43.140698,11.562079
voierie_tertiaire_non_bitumee,524,,,,25,43.140854,11.562151
voierie_tertiaire_non_bitumee,525,,,,36,43.140990,11.561993
voierie_tertiaire_non_bitumee,526,,,,154,43.132982,11.568899
voierie_tertiaire_non_bitumee,527,,,,165,43.133158,11.569053
voierie_tertiaire_non_bitumee,528,,,,167,43.133295,11.569236
voierie_tertiaire_non_bitumee,529,,,,53,43.133227,11.568458
voierie_tertiaire_non_bitumee,530,,,,46,43.133147,11.568664
voierie_tertiaire_non_bitumee,531,,,,43,43.133029,11.568900
voierie_tertiaire_non_bitumee,532,,,,23,43.133229,11.569155
voierie_tertiaire_non_bitumee,533,,,,230,43.147847,11.611196
voierie_tertiaire_non_bitumee,538,,,,247,43.151133,11.610976
voierie_tertiaire_non_bitumee,539,,,,343,43.147549,11.592513
voierie_tertiaire_non_bitumee,541,,,,167,43.151277,11.611111
voierie_tertiaire_non_bitumee,551,,,,59,43.133333,11.565986
voierie_tertiaire_non_bitumee,552,,,,93,43.133314,11.566353
voierie_tertiaire_non_bitumee,553,,,,152,43.133420,11.566728
voierie_tertiaire_non_bitumee,554,,,,31,43.133593,11.566666
voierie_tertiaire_non_bitumee,555,,,,190,43.134372,11.567040
voierie_tertiaire_non_bitumee,556,,,,121,43.134913,11.567800
voierie_tertiaire_non_bitumee,557,,,,181,43.134461,11.567727
